DMG1031A01C1682 (UNECE Bundle3);MG1CS031-3.11;Audi EA888 Evo4 Lk1;Yes;Yes;MG1CS031;802205;784633;"VW MDL_HIL : MG1CS031_C / 1682_MLBevo_OPF_NTK_MQ_MHEV_FXv8 ; 201022";391519;SWB26.1;5.4.5.173((Build 22628));VeMoX231R00;VME;released;"DMG1031A01C1682/Model/HiL/SWB26.1/VME/VW MDL_HIL : MG1CS031_C / 1682_MLBevo_OPF_NTK_MQ_MHEV_FXv8 ; 201022";http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/391519
DMG1031A01C2099 ƛ=1 (UNECE Bundle3);MG1CS031-3.11;Audi EA888 Evo4 Lk1;Yes;No;MG1CS031;802205;784776;;;;;;;;;
DMG1031A01C1922 (UNECE Bundle3);MG1CS031-3.12;Audi EA888 Evo4 Lk1;Yes;Yes;MG1CS031;802205;784723;VW MDL : MG1CS031_C / 1922_MQB_OPF_NTK_DQ7_CANv7;3315535;CSP_LC_2023.1;5.4.15.290;VeMoX231R00;VME;released;DMG1031A01C1922/Model/HiL/CSP_LC_2023.1/VME/VW MDL : MG1CS031_C / 1922_MQB_OPF_NTK_DQ7_CANv7;http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/3315535
DMG1142A01C2292 (Evo4);MG1CS142 - 2.1;Audi EA888 Evo4 UNECE;Yes;Yes;MG1CS142;802241;802242;VW MDL : MG1CS142_C / 2292_NTK_DQ7_CANv14_SOK_LCO5415;3442560;CSP2023.1;5.4.15.173((Build 22628));VeMoX231R00;VME;released;DMG1142A01C2292/Model/HiL/CSP2023.1/VME/VW MDL : MG1CS142_C / 2292_NTK_DQ7_CANv14_SOK_LCO5415;http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/3442560
D171XV00C000;MED17.1;VW EA888 T5 2,0l  MED17.1;No;No;;;;;;;;;;;;
D1752V07C000;MED17.5.2;VW EA888 1.8/2,0l  MED17.5.2;No;No;;;;;;;;;;;;
D1752V02C000;MED17.5.2;VW EA888 1.8/2,0l  MED17.5.2;No;No;;;;;;;;;;;;
D1752V04C000;MED17.5.2;VW EA888 1.8/2,0l  MED17.5.2;No;No;;;;;;;;;;;;
D1752V06C000;MED17.5.2;VW EA888 1.8/2,0l  MED17.5.2;No;No;;;;;;;;;;;;
D1752V05C000;MED17.5.2;VW EA888 1.8/2,0l  MED17.5.2;No;No;;;;;;;;;;;;
D1752V03C000;MED17.5.2;VW EA888 1.8/2,0l  MED17.5.2;No;No;;;;;;;;;;;;
DMG1002A01C1303;MG1CS002-2.1;EA839 KoVoMo - V6 (Audi);No;No;;;;;;;;;;;;
DMG1002AH2C1492;MG1CS002-2.3, 2.16/2.17;EA839 KoVoMo - V6 (Audi);Yes;Yes;MG1CS002;810844;810846;"VW MDL : MG1CS002_C / V6T_Mono_AT_PHEV_FX_v8 ; 200211";1588711;SWB26.1;5.4.5.173((Build 22628));;VME;released;"DMG1002AH2C1492/Model/HiL/SWB26.1/VME/VW MDL : MG1CS002_C / V6T_Mono_AT_PHEV_FX_v8 ; 200211";http://rb-ps-tis.bosch.com:8081/tis/web/tci/id/1588711
